Scheme/Loan Name,Sector,Interest Rate,Tenure,Key Features
Pradhan Mantri Jan Dhan Yojana (PMJDY),Financial Inclusion,0% (no interest),N/A,"Basic savings accounts with no minimum balance. Overdraft facility of up to ?10,000."
Mudra Yojana,Micro-enterprise,7.5% (approx),3 years,"Loans for small businesses, up to ?10 lakh."
Pradhan Mantri Awas Yojana (PMAY),Housing,6.50%,20 years,Subsidy on housing loans for the economically weaker section.
Stand Up India,Entrepreneurship,8.00%,7 years,"Loans for women and SC/ST entrepreneurs, from ?10 lakh to ?1 crore."
Sukanya Samriddhi Yojana,Women Empowerment,7.60%,Until age 21,"Savings scheme for girl child, tax benefits available, maximum investment of ?1.5 lakh per year."
Pradhan Mantri Vaya Vandana Yojana (PMVVY),Pension,7.40%,10 years,Senior citizens' pension scheme with monthly pension payout.
Kisan Credit Card (KCC),Agriculture,4% (subsidized),Up to 5 years,"Credit facility for farmers, with interest subsidies for timely repayment."
Gold Monetization Scheme (GMS),Financial Inclusion,Varies (based on weight),1-15 years,"Earn interest on deposited gold, government scheme to mobilize idle gold."
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Agriculture,N/A,N/A,"Direct income support of ?6,000 annually to small and marginal farmers."
National Pension Scheme (NPS),Pension,Market linked,Until retirement,Government-backed pension savings scheme with tax benefits and flexible investment options.
Pradhan Mantri Fasal Bima Yojana (PMFBY),Agriculture,2% (for Kharif crops),Seasonal,Crop insurance scheme for farmers to cover loss or damage to crops.
Credit Linked Subsidy Scheme (CLSS) under PMAY,Housing,6.5% (subsidized),15-20 years,Interest subsidy on home loans for Economically Weaker Sections (EWS) and Low-Income Groups (LIG).
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Life Insurance,?330 per year (premium),1 year (renewal),Life insurance cover of ?2 lakh at an affordable premium for people aged 18-50 years.
Pradhan Mantri Suraksha Bima Yojana (PMSBY),Accident Insurance,?12 per year (premium),1 year (renewal),Accidental death and disability cover of ?2 lakh for people aged 18-70 years.
